python3: can't open file '/kaggle/working/scripts/train_tmg_gan.py': [Errno 2] No such file or directory
TMG GAN Epoch 1/300 | CD_loss 1.9345 | G_loss 1.9672
TMG GAN Epoch 2/300 | CD_loss 1.8963 | G_loss 2.0308
TMG GAN Epoch 3/300 | CD_loss 1.8249 | G_loss 2.1558
TMG GAN Epoch 4/300 | CD_loss 1.7117 | G_loss 2.3600
TMG GAN Epoch 5/300 | CD_loss 1.6153 | G_loss 2.5231
TMG GAN Epoch 6/300 | CD_loss 1.5664 | G_loss 2.6177
TMG GAN Epoch 7/300 | CD_loss 1.5282 | G_loss 2.6892
TMG GAN Epoch 8/300 | CD_loss 1.5021 | G_loss 2.7424
TMG GAN Epoch 9/300 | CD_loss 1.4824 | G_loss 2.7829
TMG GAN Epoch 10/300 | CD_loss 1.4688 | G_loss 2.8085
TMG GAN Epoch 11/300 | CD_loss 1.4585 | G_loss 2.8368
TMG GAN Epoch 12/300 | CD_loss 1.4493 | G_loss 2.8503
TMG GAN Epoch 13/300 | CD_loss 1.4404 | G_loss 2.8654
TMG GAN Epoch 14/300 | CD_loss 1.4345 | G_loss 2.8788
TMG GAN Epoch 15/300 | CD_loss 1.4281 | G_loss 2.8864
TMG GAN Epoch 16/300 | CD_loss 1.4235 | G_loss 2.8966
TMG GAN Epoch 17/300 | CD_loss 1.4184 | G_loss 2.8994
TMG GAN Epoch 18/300 | CD_loss 1.4122 | G_loss 2.9089
TMG GAN Epoch 19/300 | CD_loss 1.4081 | G_loss 2.9076
TMG GAN Epoch 20/300 | CD_loss 1.4033 | G_loss 2.9131
TMG GAN Epoch 21/300 | CD_loss 1.3999 | G_loss 2.9162
TMG GAN Epoch 22/300 | CD_loss 1.3949 | G_loss 2.9186
TMG GAN Epoch 23/300 | CD_loss 1.3909 | G_loss 2.9156
TMG GAN Epoch 24/300 | CD_loss 1.3873 | G_loss 2.9189
TMG GAN Epoch 25/300 | CD_loss 1.3832 | G_loss 2.9190
TMG GAN Epoch 26/300 | CD_loss 1.3788 | G_loss 2.9192
TMG GAN Epoch 27/300 | CD_loss 1.3755 | G_loss 2.9190
TMG GAN Epoch 28/300 | CD_loss 1.3730 | G_loss 2.9099
TMG GAN Epoch 29/300 | CD_loss 1.3694 | G_loss 2.9153
TMG GAN Epoch 30/300 | CD_loss 1.3668 | G_loss 2.9121
TMG GAN Epoch 31/300 | CD_loss 1.3648 | G_loss 2.9033
TMG GAN Epoch 32/300 | CD_loss 1.3619 | G_loss 2.8988
TMG GAN Epoch 33/300 | CD_loss 1.3598 | G_loss 2.8984
TMG GAN Epoch 34/300 | CD_loss 1.3573 | G_loss 2.8980
TMG GAN Epoch 35/300 | CD_loss 1.3550 | G_loss 2.8876
TMG GAN Epoch 36/300 | CD_loss 1.3544 | G_loss 2.8858
TMG GAN Epoch 37/300 | CD_loss 1.3527 | G_loss 2.8781
TMG GAN Epoch 38/300 | CD_loss 1.3513 | G_loss 2.8705
TMG GAN Epoch 39/300 | CD_loss 1.3496 | G_loss 2.8607
TMG GAN Epoch 40/300 | CD_loss 1.3483 | G_loss 2.8614
TMG GAN Epoch 41/300 | CD_loss 1.3469 | G_loss 2.8532
TMG GAN Epoch 42/300 | CD_loss 1.3469 | G_loss 2.8424
TMG GAN Epoch 43/300 | CD_loss 1.3462 | G_loss 2.8400
TMG GAN Epoch 44/300 | CD_loss 1.3454 | G_loss 2.8288
TMG GAN Epoch 45/300 | CD_loss 1.3442 | G_loss 2.8245
TMG GAN Epoch 46/300 | CD_loss 1.3452 | G_loss 2.8159
TMG GAN Epoch 47/300 | CD_loss 1.3447 | G_loss 2.8111
TMG GAN Epoch 48/300 | CD_loss 1.3435 | G_loss 2.7952
TMG GAN Epoch 49/300 | CD_loss 1.3448 | G_loss 2.7963
TMG GAN Epoch 50/300 | CD_loss 1.3457 | G_loss 2.7831
TMG GAN Epoch 51/300 | CD_loss 1.3448 | G_loss 2.7671
TMG GAN Epoch 52/300 | CD_loss 1.3452 | G_loss 2.7638
TMG GAN Epoch 53/300 | CD_loss 1.3466 | G_loss 2.7562
TMG GAN Epoch 54/300 | CD_loss 1.3485 | G_loss 2.7445
TMG GAN Epoch 55/300 | CD_loss 1.3486 | G_loss 2.7345
TMG GAN Epoch 56/300 | CD_loss 1.3502 | G_loss 2.7276
TMG GAN Epoch 57/300 | CD_loss 1.3526 | G_loss 2.7140
TMG GAN Epoch 58/300 | CD_loss 1.3527 | G_loss 2.7043
TMG GAN Epoch 59/300 | CD_loss 1.3544 | G_loss 2.6917
TMG GAN Epoch 60/300 | CD_loss 1.3573 | G_loss 2.6847
TMG GAN Epoch 61/300 | CD_loss 1.3578 | G_loss 2.6655
TMG GAN Epoch 62/300 | CD_loss 1.3608 | G_loss 2.6573
TMG GAN Epoch 63/300 | CD_loss 1.3642 | G_loss 2.6502
TMG GAN Epoch 64/300 | CD_loss 1.3658 | G_loss 2.6284
TMG GAN Epoch 65/300 | CD_loss 1.3696 | G_loss 2.6248
TMG GAN Epoch 66/300 | CD_loss 1.3729 | G_loss 2.5981
TMG GAN Epoch 67/300 | CD_loss 1.3757 | G_loss 2.5938
TMG GAN Epoch 68/300 | CD_loss 1.3788 | G_loss 2.5824
TMG GAN Epoch 69/300 | CD_loss 1.3821 | G_loss 2.5543
TMG GAN Epoch 70/300 | CD_loss 1.3853 | G_loss 2.5514
TMG GAN Epoch 71/300 | CD_loss 1.3891 | G_loss 2.5405
TMG GAN Epoch 72/300 | CD_loss 1.3923 | G_loss 2.5308
TMG GAN Epoch 73/300 | CD_loss 1.3981 | G_loss 2.5134
TMG GAN Epoch 74/300 | CD_loss 1.3996 | G_loss 2.4965
